score,angry,happy,neutral,sad,surprise,Learning_Path
0,10.70560934,46.28841002,10.91424987,29.90979589,2.181934883,"['easy', 'easy', 'medium', 'medium', 'medium']"
40,48.0192851,0.56205958,27.78770641,10.47659464,13.15435427,"['easy', 'medium', 'medium', 'medium', 'hard']"
40,54.70927235,1.78079088,17.39480504,8.149897047,17.96523468,"['easy', 'easy', 'medium', 'medium', 'medium']"
60,17.84207634,27.17227311,8.883863715,34.68662008,11.41516676,"['medium', 'medium', 'hard', 'hard', 'medium']"
0,0.230852813,17.10445132,16.3289688,42.71556504,23.62016202,"['easy', 'easy', 'medium', 'medium', 'medium']"
20,3.768190413,56.26813488,4.410482003,19.61494195,15.93825075,"['easy', 'easy', 'medium', 'medium', 'medium']"
80,46.45966209,37.62155144,12.51067478,1.404973409,2.00313828,"['medium', 'medium', 'hard', 'hard', 'medium']"
80,39.57410641,28.22395351,11.54890049,13.3379019,7.31513769,"['medium', 'medium', 'hard', 'hard', 'medium']"
60,34.34568193,12.69780159,11.87756639,2.86436483,38.21458526,"['easy', 'medium', 'medium', 'medium', 'hard']"
100,17.4762194,15.76072943,25.8630128,19.64525089,21.25478748,"['medium', 'medium', 'hard', 'hard', 'medium']"
80,1.87304125,50.37928877,10.9566052,2.073257132,34.71780765,"['medium', 'hard', 'hard', 'hard', 'hard']"
60,44.17808668,9.324093537,17.71666735,16.28163074,12.4995217,"['medium', 'medium', 'hard', 'hard', 'medium']"
20,38.70668638,0.524217198,43.08830663,4.421364797,13.25942499,"['easy', 'easy', 'medium', 'medium', 'medium']"
60,9.290659709,3.236018863,46.5206666,39.86554142,1.087113404,"['medium', 'medium', 'hard', 'hard', 'medium']"
20,3.705303701,12.95578744,0.448805259,35.34103492,47.54906868,"['easy', 'easy', 'medium', 'medium', 'medium']"
80,10.77802031,21.50372235,36.4460337,27.13374839,4.138475247,"['medium', 'medium', 'hard', 'hard', 'medium']"
40,5.082929638,29.06871697,22.87320129,20.82934598,22.14580612,"['easy', 'easy', 'medium', 'medium', 'medium']"
0,39.77848982,44.46843946,1.198615245,6.685253151,7.869202323,"['easy', 'easy', 'medium', 'medium', 'medium']"
40,5.891793807,59.87675534,5.040003883,6.806478917,22.38496805,"['easy', 'medium', 'medium', 'medium', 'hard']"
80,3.49853614,25.35995536,15.72083909,36.23215896,19.18851045,"['medium', 'medium', 'hard', 'hard', 'medium']"
